Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealers Discount from list,Proposed GSA Price (w/o IFF Fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Signamax,UFE-B-08LC-G,16-Fiber(8DX)LC MM LOF Adapter, $105.00 , $48.83 ,54%, $57.44 ,45%, $57.88 ,Made in U.S.A,1 Year
Signamax,UFE-B-08MTRJ,8-Port (16 Fiber) MT-RJ MM, $35.00 , $16.28 ,54%, $19.15 ,45%, $19.29 ,Made in U.S.A,1 Year
Signamax,UFE-B-08SC,8-Port (8 Fiber) SC MM, $34.50 , $16.04 ,54%, $18.87 ,45%, $19.02 ,Made in U.S.A,1 Year
Signamax,UFE-B-08SC-B,8-Port SC Connector Module, $7.60 , $3.53 ,54%, $4.16 ,45%, $4.19 ,Made in U.S.A,1 Year
Signamax,UFE-B-08SC-C,8-Port (8 Fiber) SC SM, $44.00 , $20.46 ,54%, $24.07 ,45%, $24.25 ,Made in U.S.A,1 Year
Signamax,UFE-B-08SCM,8 Port SC Multimode, $28.31 , $13.16 ,54%, $15.49 ,45%, $15.60 ,Made in U.S.A,1 Year
Signamax,UFE-B-08ST,8-Port (8 Fiber) ST MM, $31.50 , $14.65 ,54%, $17.23 ,45%, $17.36 ,Made in U.S.A,1 Year
Signamax,UFE-B-08ST-B,8-Port ST Connector Module, $7.60 , $3.53 ,54%, $4.16 ,45%, $4.19 ,Made in U.S.A,1 Year
Signamax,UFE-B-08ST-C,8-Port (8 Fiber) ST SM, $38.80 , $18.04 ,54%, $21.23 ,45%, $21.39 ,Made in U.S.A,1 Year
Signamax,UFE-B-12SC,12-Port (12 Fiber) SC MM, $40.00 , $18.60 ,54%, $21.88 ,45%, $22.05 ,Made in U.S.A,1 Year
Signamax,UFE-B-12SC-B,6 SC Duplex Adapter Plate, $7.60 , $3.53 ,54%, $4.16 ,45%, $4.19 ,Made in U.S.A,1 Year
Signamax,UFE-B-12SC-C,12-Port (12 Fiber) SC SM, $52.00 , $24.18 ,54%, $28.45 ,45%, $28.66 ,Made in U.S.A,1 Year
Signamax,UFE-B-12SCM,12 Port SC Multimode, $33.31 , $15.49 ,54%, $18.22 ,45%, $18.36 ,Made in U.S.A,1 Year
Signamax,UFE-B-12ST,12-Port (12 Fiber) ST MM, $42.00 , $19.53 ,54%, $22.98 ,45%, $23.15 ,Made in U.S.A,1 Year
Signamax,UFE-B-12ST-C,12-Port (12 Fiber) ST SM, $53.10 , $24.69 ,54%, $29.05 ,45%, $29.27 ,Made in U.S.A,1 Year
Signamax,UFE-B-BL,Blank Module, $7.60 , $3.53 ,54%, $4.16 ,45%, $4.19 ,Made in U.S.A,1 Year
Signamax,UFE-WH-12SC-B,6 SC Duplex Adapter Plate, $7.30 , $3.39 ,54%, $3.99 ,44%, $4.02 ,Made in U.S.A,1 Year
Signamax,UFE-WH-12SC-C,12-Port(12 Fiber) SC SM Module, $49.00 , $22.79 ,54%, $26.81 ,45%, $27.01 ,Made in U.S.A,1 Year
Signamax,UFE-WH-12SC-S,12-Port(12 Fiber) SC SM Module, $49.00 , $22.79 ,54%, $26.81 ,45%, $27.01 ,Made in U.S.A,1 Year
Signamax,UFE-WH-BL,"Blank Module, Off White", $7.30 , $3.39 ,54%, $3.99 ,45%, $4.02 ,Made in U.S.A,1 Year
Signamax,VCM-84FR-C,"Vertical Cbl Mgnt for 84"" Rack", $390.00 , $181.35 ,54%, $213.35 ,45%, $214.97 ,Made in U.S.A,1 Year
Signamax,VCM-84FR-S,"Vertical Cbl Mgnt for 84"" Rack", $364.00 , $169.26 ,54%, $199.13 ,45%, $200.63 ,Made in U.S.A,1 Year
Signamax,VCM-84F-S,"Vertical Cbl Mgnt for 84"" Rack", $204.00 , $94.86 ,54%, $111.60 ,45%, $112.44 ,Made in U.S.A,1 Year
Signamax,WBK-100PR4,Cat 5e 100-Pair Kit w/o Legs, $33.00 , $15.35 ,54%, $18.05 ,45%, $18.19 ,Made in U.S.A,1 Year
Signamax,WBK-100PRL3,100 Pair Wiring Block Kit, $30.28 , $14.08 ,54%, $16.56 ,45%, $16.69 ,Made in U.S.A,1 Year
Signamax,WBK-100PRL4,Cat 5e 100-Pair Kit w/Legs, $36.40 , $16.93 ,54%, $19.91 ,45%, $20.06 ,Made in U.S.A,1 Year
Signamax,WBK-100PRL5,100 Pair Wiring Block Kit, $32.19 , $14.97 ,54%, $17.61 ,45%, $17.74 ,Made in U.S.A,1 Year
Signamax,WBK-300PR4,Cat 5e 300-Pair Kit w/o Legs, $94.00 , $43.71 ,54%, $51.42 ,45%, $51.81 ,Made in U.S.A,1 Year
Signamax,WBK-300PRL3,300 Pair Wiring Block Kit w/, $90.71 , $42.18 ,54%, $49.62 ,45%, $50.00 ,Made in U.S.A,1 Year
Signamax,WBK-300PRL4,Cat 5e 300-Pair Kit w/Legs, $102.00 , $47.43 ,54%, $55.80 ,45%, $56.22 ,Made in U.S.A,1 Year
Signamax,WBK-300PRL5,300 Pair Wiring Block Kit w/, $96.43 , $44.84 ,54%, $52.75 ,45%, $53.15 ,Made in U.S.A,1 Year
Signamax,WBK-50PRL3,50 Pair Wiring Block Kit, $16.44 , $7.64 ,54%, $8.99 ,45%, $9.06 ,Made in U.S.A,1 Year
Signamax,WBK-50PRL4,Category 5e 50-Pair Kit w/Legs, $19.20 , $8.93 ,54%, $10.50 ,45%, $10.58 ,Made in U.S.A,1 Year
Signamax,WBK-50PRL5,50 Pair Wiring Block Kit, $17.39 , $8.09 ,54%, $9.52 ,45%, $9.59 ,Made in U.S.A,1 Year
Signamax,WBK6-288PRL4,Cat6 288-Pair 110 Wiring Block, $150.00 , $69.75 ,54%, $82.06 ,45%, $82.68 ,Made in U.S.A,1 Year
Signamax,WBK6-48PRL4,Category 6+ 48-Pair Kit, $26.40 , $12.28 ,54%, $14.44 ,45%, $14.55 ,Made in U.S.A,1 Year
Signamax,WFE2-B,2-Module Wall Mount, $100.00 , $46.50 ,54%, $54.71 ,45%, $55.12 ,Made in U.S.A,1 Year
Signamax,WFE2S-B,2-Module Wall Mount Enclosure, $148.00 , $68.82 ,54%, $80.96 ,45%, $81.58 ,Made in U.S.A,1 Year
Signamax,WFE4-B,4-Module Wall Mount, $136.00 , $63.24 ,54%, $74.40 ,45%, $74.96 ,Made in U.S.A,1 Year
Signamax,WFE4S-B,4-Module Wall Mount Enclosure, $162.00 , $75.33 ,54%, $88.62 ,45%, $89.29 ,Made in U.S.A,1 Year
Signamax,WM100PRL-4M3,100-Pair 110 Wall Mount Block, $188.03 , $87.44 ,54%, $102.87 ,45%, $103.64 ,Made in U.S.A,1 Year
Signamax,WM100PRL-4M4,"100-PR 110-block, 20x4PR/4x5PR", $188.03 , $87.44 ,54%, $102.87 ,45%, $103.64 ,Made in U.S.A,1 Year
Signamax,WM100PRL-5M4,100-Pair 110 Wall Mount Block, $188.03 , $87.44 ,54%, $102.87 ,45%, $103.64 ,Made in U.S.A,1 Year
Signamax,WM25PRL-1M3,25-Pair 110 Wall Mount Block, $82.53 , $38.38 ,54%, $45.15 ,45%, $45.49 ,Made in U.S.A,1 Year
Signamax,WM25PRL-1M4,25-Pair 110 Wall Mount Block, $82.53 , $38.38 ,54%, $45.15 ,45%, $45.49 ,Made in U.S.A,1 Year
Signamax,WM25PRL-1M5,25-Pair 110 Wall Mount Block, $82.53 , $38.38 ,54%, $45.15 ,45%, $45.49 ,Made in U.S.A,1 Year
Signamax,WM50PRL-2M3,50-Pair 110 Wall Mount Block, $117.35 , $54.57 ,54%, $64.20 ,45%, $64.68 ,Made in U.S.A,1 Year
Signamax,WM50PRL-2M4,50-Pair 110 Wall Mount Block, $117.35 , $54.57 ,54%, $64.20 ,45%, $64.68 ,Made in U.S.A,1 Year
Signamax,WM50PRL-2M5,50-Pair 110 Wall Mount Block, $117.35 , $54.57 ,54%, $64.20 ,45%, $64.68 ,Made in U.S.A,1 Year
