Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Signamax,DKF-8-DI,8-Port Double Gang Faceplate, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,DKF-8-GY,8-Port Double Gang Faceplate, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,DKF-8-WH,8-Port Double Gang Faceplate, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,DKFD-2,Double Gang Decora Style, $1.70 , $0.79 ,54%, $0.92 ,46%, $0.93 ,US,1 Year
Signamax,DKFD-2-GY,Double Gang Decora Style, $1.70 , $0.79 ,54%, $0.92 ,46%, $0.93 ,US,1 Year
Signamax,DKFD-2-WH,Double Gang Decora Style, $1.70 , $0.79 ,54%, $0.92 ,46%, $0.93 ,US,1 Year
Signamax,DKFL-12,12-Port Double Gang Keystone F, $2.40 , $1.12 ,54%, $1.31 ,46%, $1.32 ,US,1 Year
Signamax,DKFL-12-BK,12-Port Double Gang Keystone F, $2.40 , $1.12 ,54%, $1.31 ,46%, $1.32 ,US,1 Year
Signamax,DKFL-12-GY,12-Port Double Gang Keystone F, $2.40 , $1.12 ,54%, $1.31 ,46%, $1.32 ,US,1 Year
Signamax,DKFL-12-WH,12-Port Double Gang Keystone F, $2.40 , $1.12 ,54%, $1.31 ,46%, $1.32 ,US,1 Year
Signamax,DKFL-6,6-Port Double Gang Faceplate, $2.40 , $1.12 ,54%, $1.31 ,46%, $1.32 ,US,1 Year
Signamax,DKFL-6-BK,6-Port Double Gang Keystone Fa, $2.40 , $1.12 ,54%, $1.31 ,46%, $1.32 ,US,1 Year
Signamax,DKFL-6-DI,6-Port Double Gang Faceplate, $2.40 , $1.12 ,54%, $1.31 ,46%, $1.32 ,US,1 Year
Signamax,DKFL-6-GY,6-Port Double Gang Keystone Fa, $2.40 , $1.12 ,54%, $1.31 ,46%, $1.32 ,US,1 Year
Signamax,DKFL-6-WH,6-Port Double Gang Faceplate, $2.40 , $1.12 ,54%, $1.31 ,46%, $1.32 ,US,1 Year
Signamax,DKFLA-8,8-Port Double Gang Angled, $2.40 , $1.12 ,54%, $1.31 ,46%, $1.32 ,US,1 Year
Signamax,DKFLA-8-WH,8-Port Double Gang Angled, $2.40 , $1.12 ,54%, $1.31 ,46%, $1.32 ,US,1 Year
Signamax,DL-112-BU,"Port Designation Labels, Sheet", $4.00 , $1.86 ,54%, $2.18 ,46%, $2.19 ,US,1 Year
Signamax,DL-112-GN,"Port Designation Labels, Sheet", $4.00 , $1.86 ,54%, $2.18 ,46%, $2.19 ,US,1 Year
Signamax,DL-112-IV,"Port Designation Labels, Sheet", $4.00 , $1.86 ,54%, $2.18 ,46%, $2.19 ,US,1 Year
Signamax,DL-112-OR,"Port Designation Labels, Sheet", $4.00 , $1.86 ,54%, $2.18 ,46%, $2.19 ,US,1 Year
Signamax,DL-112-RD,"Port Designation Labels, Sheet", $4.00 , $1.86 ,54%, $2.18 ,46%, $2.19 ,US,1 Year
Signamax,DL-112-WH,"Port Designation Labels, Sheet", $4.00 , $1.86 ,54%, $2.18 ,46%, $2.19 ,US,1 Year
Signamax,DL-112-YE,"Port Designation Labels, Sheet", $4.00 , $1.86 ,54%, $2.18 ,46%, $2.19 ,US,1 Year
Signamax,DL-30-BU,"Port Designation Labels, Sheet", $1.20 , $0.56 ,54%, $0.65 ,46%, $0.66 ,US,1 Year
